tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-7808,Bengaluru,Hard,32,C,20260105.0,1,MO44,1.0,,Pedro Martinez,R,185.0,ESP,,V993,,,Eero Vasa,R,185.0,FIN,,4-6 6-2 6-3,3,R32,129.0,5.0,10.0,91,53.0,39,19.0,14.0,7.0,10.0,12.0,6.0,88.0,49.0,33.0,16.0,13.0,4.0,9,96.0,643,489.0,88
2026-7808,Bengaluru,Hard,32,C,20260105.0,2,SK94,,,Cedrik Marcel Stebe,L,180.0,GER,,H0CX,7.0,,Max Houkes,L,188.0,NED,,4-6 6-3 6-1,3,R32,150.0,4.0,4.0,93,52.0,35,24.0,13.0,7.0,9.0,3.0,3.0,97.0,49.0,29.0,25.0,13.0,12.0,17,346.0,142,245.0,221
2026-7808,Bengaluru,Hard,32,C,20260105.0,3,B0WL,,,Felix Balshaw,R,191.0,FRA,,HG94,8.0,,Benjamin Hassan,R,183.0,LBN,,6-4 6-1,3,R32,307.0,8.0,5.0,66,35.0,28,15.0,9.0,7.0,8.0,2.0,1.0,48.0,29.0,18.0,6.0,8.0,3.0,7,718.0,44,259.0,208
2026-7808,Bengaluru,Hard,32,C,20260105.0,4,GG65,,,Michael Geerts,R,178.0,BEL,,GJ05,,,Alexis Gautier,R,198.0,FRA,,3-6 6-4 6-3,3,R32,536.0,9.0,4.0,95,51.0,39,22.0,14.0,8.0,10.0,11.0,5.0,104.0,64.0,43.0,20.0,14.0,9.0,12,295.0,178,759.0,38
2026-7808,Bengaluru,Hard,32,C,20260105.0,5,GH92,,,Borna Gojo,R,196.0,CRO,,S0RI,,,Karan Singh,R,185.0,IND,,6-2 6-4,3,R32,64.0,13.0,0.0,42,30.0,27,9.0,9.0,0.0,0.0,4.0,2.0,66.0,47.0,27.0,11.0,9.0,2.0,5,293.0,178,466.0,94
2026-7808,Bengaluru,Hard,32,C,20260105.0,6,L0I5,,,Mitsuki Wei Kang Leong,R,175.0,MAS,,O09A,,,Aziz Ouakaa,R,185.0,TUN,,6-2 6-2,3,R32,65.0,3.0,2.0,42,30.0,26,5.0,8.0,0.0,1.0,2.0,1.0,52.0,28.0,14.0,8.0,8.0,3.0,8,774.0,36,656.0,53
2026-7808,Bengaluru,Hard,32,C,20260105.0,7,S0DE,,,Dhakshineswar Suresh,R,196.0,IND,,A0CJ,,,Duje Ajdukovic,R,188.0,CRO,,6-4 6-4,3,R32,59.0,20.0,2.0,52,38.0,34,7.0,10.0,0.0,0.0,6.0,3.0,52.0,31.0,25.0,10.0,10.0,1.0,3,521.0,79,329.0,153
2026-7393,Canberra,Hard,32,C,20260105.0,9,J0DZ,,,Rafael Jodar,R,191.0,ESP,,J551,,,Nicolas Jarry,R,201.0,CHI,,6-3 6-4,3,R32,78.0,2.0,3.0,70,46.0,30,14.0,10.0,4.0,5.0,2.0,0.0,51.0,39.0,24.0,5.0,9.0,2.0,5,165.0,349,133.0,451
2026-7393,Canberra,Hard,32,C,20260105.0,10,KI63,,,Lukas Klein,R,193.0,SVK,,C0HT,,,Murphy Cassone,R,188.0,USA,,4-6 7-5 6-3,3,R32,121.0,10.0,1.0,99,70.0,54,13.0,16.0,3.0,4.0,15.0,0.0,91.0,61.0,47.0,16.0,15.0,6.0,8,141.0,436,215.0,268
2026-7393,Canberra,Hard,32,C,20260105.0,11,J0AZ,,,Kyrian Jacquet,R,175.0,FRA,,N732,3.0,,Yoshihito Nishioka,L,170.0,JPN,,2-6 6-1 7-5,3,R32,134.0,8.0,2.0,88,46.0,35,23.0,14.0,4.0,7.0,3.0,2.0,76.0,49.0,33.0,14.0,13.0,9.0,13,136.0,442,116.0,528
2026-7393,Canberra,Hard,32,C,20260105.0,12,B0PG,6.0,,Alexander Blockx,R,193.0,BEL,,B0U4,,,Nicolai Budkov Kjaer,R,191.0,NOR,,6-2 6-3,3,R32,69.0,6.0,1.0,51,33.0,30,8.0,9.0,0.0,0.0,3.0,3.0,56.0,31.0,19.0,12.0,8.0,5.0,8,115.0,535,135.0,448
2026-7393,Canberra,Hard,32,C,20260105.0,13,L987,8.0,,Dusan Lajovic,R,183.0,SRB,,O513,,,Sebastian Ofner,R,191.0,AUT,,6-3 6-2,3,R32,56.0,1.0,2.0,43,29.0,26,10.0,9.0,0.0,0.0,4.0,1.0,44.0,24.0,14.0,11.0,8.0,0.0,3,125.0,487,131.0,463
2026-7393,Canberra,Hard,32,C,20260105.0,14,BV16,,,Ugo Blanchet,R,175.0,FRA,,R0GO,,,Henrique Rocha,R,180.0,POR,,6-3 6-4,3,R32,82.0,4.0,1.0,54,29.0,24,17.0,10.0,0.0,0.0,8.0,3.0,66.0,37.0,27.0,14.0,9.0,7.0,9,144.0,427,157.0,394
2026-7393,Canberra,Hard,32,C,20260105.0,15,M0OQ,,,James Mccabe,R,188.0,AUS,,L0GH,,,Mark Lajal,R,191.0,EST,,7-6(3) 7-6(8),3,R32,132.0,10.0,0.0,81,44.0,36,23.0,12.0,2.0,3.0,2.0,7.0,89.0,49.0,35.0,22.0,12.0,2.0,3,188.0,309,149.0,407
